
316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1151   hydrobromic acid         aq         10%             68               20                +             +    +     +      +        +                       +                  -                     -                 -          -             +     +       +        +     +      +       +        +
HBr                      aq         10%             104              40                +             +    +     +      +        +                       +                                                                     -       -     +     +       +        +     +      +       +        +
aq         10%             140              60                +             +    +     +      +        +                                                                                                     0     0     +                +     +      +       +
aq         10%             176              80                                         +      +        +                                                                                                                                        +      +       +
aq         10%             212              100                                        +      +        +
aq         48%              68               20               +             +    +     +      +        +                        -                 -                     -                 -          -       -     +     +       +        +     +      +       +        +
aq         48%             104              40                +             +    +     +      +        +                                                                                                     -     +     +       +        +     +      +       +        +
aq         48%             140              60                +             +    0     +      +        +                                                                                                     0     0     +                +     +      +       +
aq         48%             176              80                                         +      +        +                                                                                                           -     -       0        0     +      +       +
aq         48%             212              100                                        +      +        +                                                                                                                         -        -
"1152   1,3-butadiene           gas          HC              68              20                +             0    0     +      +        +                                        +                     +                   -          -       -     0                            +"
gas          HC              104              40               +       -     -    +            +        +                                        +                     +                                                                         +
CH2=CHCH=CH2            gas          HC             1112             600                                        +      +        +                                        +                     +                                                                         +
C4H6                    gas          HC              176              80                                        +      +        +
gas          HC              212             100                                        +      +        +
"1153   1,4-butanediol          aq          10%              68              20                +             +    +            +        +           -                            +                     +                  +           +             +     +       +        +     +      +       +        +"
tetramethylene glycol   aq          10%             104              40                0             +    +            +        +                                        +                     +                  +                         +             +        +     +      +       +        +
aq          10%             140              60                -             +    +            +        +                                        +                     +                  +                         +                      +     +      +       +        +
HO(CH2)4OH              aq          10%             176              80                                                +        +                                        +                     +                  +                                                      +      +       +        +
C4H10O2                 aq          10%             212              100                                               +        +                                        +                     +                  +                                                             +       +
TP              68               20                0            +    +            +        +           -                            +                     +                  +           +             +     +       +        0     +      +       +        +
TP              104              40                -            +    +            +        +                                        +                     +                  +                         +             +        -     +      +       +        +
TP              140              60                             +    +            +        +                                        +                     +                  +                         +                            +      +       +        +
TP              176              80                                               +        +                                        +                     +                  +                                                      +      +       +        +
TP              212             100                                               +        +                                        +                     +                  +                                                             +       +        +
1154   butane                  gas         HC              68               20                +             +    +     +      +        +                                        +                     +                  +           -       +     -     -       +        0     +
C4H10                   gas         HC              104              40                                   +     +      +        +                                        +                     +                  +                                                      +
gas         HC              140              60                                   +     +      +        +                                        +                     +                  +                                                      +
gas         HC              176              80                                                +        +                                        +                     +                  +                                                      +
gas         HC              212              100                                               +        +                                        +                     +                  +                                                      +
1155   1-butanol                            TP              68               20               +       0     +    +     +      +        +           -           +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
butyl alcohol                        TP             104              40                +             +    +     +      +        +                                        +                     +                  +           +       +     +     +                +     +      +       +        +
CH3(CH2)3OH                          TP             140              60                0             +    0     +      +        +                                        +                     +                  +           +       -     +     0                +     +      +       +        +
C4H10O                               TP             176              80                                   0     +      +        +                                        +                     +                  +                         0                      +     +      +       +        +
TP             212              100                                        0      +        +                                        +                     +                  +                                                      +      +       +        +
TP             248              120                                               +        +                                        +                     +                  +
1156   1-butanethiol                        TP              68               20               +             0    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +            +       +        +
1-butyl mercaptan                    TP             104              40                +             0    0     +      +        +                                        +                     +                  +           +       +     +     +       +        +            +       +        +
TP             140              60                +             -          +      +        +                                        +                     +                              0       +     0     0       0        +            +       +        +
CH3(CH2)3SH                          TP             176              80                                         +      +        +                                        +                     +                                                                                +       +        +
C4H10S                               TP             212              100                                               +        +                                        +                     +                                                                                +       +        +




23 of 110
                                                                                                                                                                           304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1157   1-butene                  gas         HC              68               20                +             -    -     +      +        +                                        +                     +                  +           -       +     0     +       +        0
butylene                  gas         HC              104              40                              -    -     +      +        +                                        +                     +                  +
gas         HC              140              60                                   -     +      +        +                                        +                     +                  +
CH3CH2CH=CH2              gas         HC              176              80                                   -     +      +        +                                        +                     +                  +
C4H8                      gas         HC              212              100                                  -     +      +        +                                        +                     +                  +
1158   1-butyne                  gas         HC              68               20                              +                 +        +
CH3CH2CCH                 gas         HC              104              40                              +                 +        +
C4H6                      gas         HC              140              60                                                +        +
gas         HC              176              80                                                +        +
gas         HC              212              100                                               +        +
aq          20%              68               20               +       -     +    +     +      +        +                                        +                     +                  +           -       -     +     +       0        0     +      +       +        +
aq          20%             104              40                0       -     +          +      +        +                                        +                     +                  +                                                      +      +       +        +
aq          20%             140              60                -       -     0          +      +        +                                        +                     +                  +                                                      +      +       +        +
aq          20%             176              80                        -                +      +        +                                        +                     +                  +                                                             +       +
aq          20%             212              100                                        +      +        +                                        +                     +                  +                                                             +
1159   butyric acid                           TP              68               20               +       -     +    +     +      +        +                                        +                     +                  +           -       -     0     0       0        0     +      +       +        +
TP             104              40                0       -     +          +      +        +                                        +                     +                  +                                                      +      +       +        +
butanoic acid                          TP             140              60                -       -     0          +      +        +                                        +                     +                  +                                                      +      +       +        +
CH3CH2CH2CO2H                          TP             176              80                        -                +      +        +                                        +                     +                  +                                                             +       +
C4H8O2                                 TP             212              100                                        0      +        +                                        +                     +                  +                                                             +
1160   butyl acetate                          TP              68               20                -      -     0    -            +        +           -            -               +                     +                  +           -       -     -     -       -        0     +      +                +
acetic acid butyl ester                TP             104              40                              0    -            +        +                        -               +                     +                  +           -       -     -     -       -              +      +                +
TP             140              60                              -    -            +        +                        -               +                     +                  +                                                      +      +                +
CH3CO2(CH2)3CH3                        TP             176              80                                                +        +                        -               +                     +                  +                                                             +                +
C6H12O2                                TP             212              100                                               +        +                        -               +                     +                  +                                                             +                +
1161   butylamine                             TP              68                20                      -                +      +        +           -                            +                     +                  +                   -                   -              +      +       +        +
1-aminobutane                          TP             104                40                      -                0      +        +                                        +                     +                  +                                                      +      +       +        +
CH3(CH2)3NH2                           TP             140                60                      -                -      +        +                                        +                     +                  +                                                      +      +       +        +
C4H11N                                 TP             176                80                      -                       +        +                                        +                     +                  +                                                             +       +        +
1162   butyl bromide                          TP              68               20                -      -     -    -     +      +        +           -            -               +                     +                  +                                                      +      +       +        +
1 -bromobutane                         TP             104              40                                         +      +        +                                        +                     +                  +                                                      +      +       +        +
TP             140              60                                         +      +        +                                        +                     +                  +                                                      +      +       +        +
CH3(CH2)3Br                            TP             176              80                                         +      +        +                                        +                     +                  +                                                      +      +       +        +
C4H9Br                                 TP             212              100                                        +      +        +                                        +                     +                  +                                                             +                +
1163   butyl chloride                         TP              68               20                -                       +      +        +
1-chlorobutane                         TP             104              40                                         +      +        +
TP             140              60                                         +      +        +
CH3(CH2)3Cl                            TP             176              80                                         +      +        +
C4H9Cl                                 TP             212              100                                        +      +        +
TP             248              120                                               +        +




24 of 110
                                                                                                                                                                               304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1164   4-tert-butylphenol                         TP              68               20                0            0    +     +      +        +                                                                                 +                   -     -     -       0        -
(CH3)3CC6H4OH                              TP             104              40                 -                       +      +        +
C10H14O                                    TP             140              60                                         +      +        +
TP             176              80                                         +      +        +
TP             212              100                                               +        +
TP             248              120                                               +        +
1165   butyl phosphate                            TP              68               20                -      -                -      +        +                                                                                                                                               +                +
phosphoric acid butyl ester                TP             104              40                                                +        +                                                                                                                                               +                +
TP             140              60                                                +        +                                                                                                                                               +                +
C4H9OPO(OH)2                               TP             176              80                                                +        +                                                                                                                                               +                +
C4H11O4P                                   TP             212              100                                               +        +                                                                                                                                               +                +
TP             248              120                                               +        +                                                                                                                                               +                +
1166   cadmium acetate                aq         CSC             68               20                +       +     +    +            +        +                                                                                 +                                                      +      +       +        +
(CH3CO2)2Cd                    aq         CSC             104              40                +       +     +    +            +        +                                                                                 +                                                      +      +       +        +
C4H6CdO4                       aq         CSC             140              60                        +     +    +            +        +                                                                                 +                                                      +      +       +        +
aq         CSC             176              80                        +                       +        +                                                                                 +                                                      +      +       +
aq         CSC             212              100                                               +        +                                                                                 +                                                             +       +
1167   cadmium chloride               aq         CSC             68               20                +       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
CdCl2                          aq         CSC             104              40                +       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         CSC             140              60                0       +     +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         CSC             176              80                        +                +      +        +                                        +                     +                  +           -       0     +     0       +        +     +      +       +
aq         CSC             212              100                                        +      +        +                                        +                     +                  +                         0             +        +     +      +       +
1168   cadmium cyanide                aq         CSC             68               20                +             +    +     -      +        +                                                                                                           +                            +      +       +        +
Cd(CN)2                        aq         CSC             104              40                +             +    +     -      +        +                                                                                                                                        +      +       +        +
C2CdN2                         aq         CSC             140              60                              +    +            +        +                                                                                                                                        +      +       +        +
aq         CSC             176              80                                                +        +                                                                                                                                        +      +       +
aq         CSC             212              100                                               +        +                                                                                                                                               +
1169   cadmium sulfate                aq         CSC             68               20                +       +     +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
CdSO4                          aq         CSC             104              40                +       +     +    +     +      +        +                       +                                                         +                                       +              +      +       +        +
CdO4S                          aq         CSC             140              60                0       +     +    +     +      +        +                       +                                                         +                                                      +      +       +        +
aq         CSC             176              80                        +                +      +        +                                                                                 +                                                      +      +       +
aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +       +
1170   calcium acetate                aq         CSC             68               20                +       +     +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
(CH3CO2)2Ca                    aq         CSC             104              40                +       +     +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
C4H6CaO4                       aq         CSC             140              60                        +     +    +     +      +        +                                                                                 +                         +                            +      +       +        +
aq         CSC             176              80                        +                +      +        +                                                                                 +                                                      +      +       +
aq         CSC             212              100                                        +      +        +                                                                                 +                                                      +      +       +




25 of 110
                                                                                                                                                                             304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1171   calcium arsenate             aq         CSC             68               20                +             +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
calcium othoarsenate         aq         CSC             104              40                +             +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
aq         CSC             140              60                              +    +     +      +        +                                                                                 +                         +                            +      +       +        +
Ca3(AsO4)2                   aq         CSC             176              80                                         +      +        +                                                                                 +                                                      +      +       +
As2Ca3O8                     aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +       +
1172   calcium benzoate             aq         CSC             68               20                +             +    +     +      +        +                                                                                 +                                                      +      +       +        +
benzoic acid calcium salt    aq         CSC             104              40                              +    +     +      +        +                                                                                 +                                                      +      +       +        +
(C6H5CO2)2Ca                 aq         CSC             140              60                              +    +     +      +        +                                                                                 +                                                      +      +       +        +
C14H10CaO4                   aq         CSC             176              80                                         +      +        +                                                                                 +                                                      +      +       +
aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +       +
1173   calcium bromide              aq         CSC             68               20                +             +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
CaBr2                        aq         CSC             104              40                +             +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
Br2Ca                        aq         CSC             140              60                0             +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
aq         CSC             176              80                                         +      +        +                                                                                 +                                                      +      +       +
aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +       +
1174   calcium carbide                          TP              68               20                             +    +            +        +
calcium acetylide                        TP             104              40                              +    +            +        +
carbide                                  TP             140              60                              +    +            +        +
CaC2                                     TP             176              80                                                +        +
C2Ca                                     TP             212              100                                               +        +
TP             248              120                                               +        +
1175   calcium carbonate            aq         CSC             68               20                +       +     +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
lime                         aq         CSC             104              40                +       +     +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
aq         CSC             140              60                +       +     +    +     +      +        +                       +                                                         +                         +                            +      +       +        +
CaCO3                        aq         CSC             176              80                        +          +     +      +        +                                                                                 +                         +                            +      +       +
CCaO3                        aq         CSC             212              100                                        +      +        +                                                                                 +                                                      +      +       +
1176   calcium chlorate             aq         CSC             68               20                +       +     +    +     +      +        +                                                                                                                                        +      +       +        +
aq         CSC             104              40                +       +     +    +     +      +        +                                                                                                                                        +      +       +        +
aq         CSC             140              60                +       +     +    +     +      +        +                                                                                                                                        +      +       +        +
aq         CSC             176              80                        +                +      +        +                                                                                                                                        +      +       +
aq         CSC             212              100                                        +      +        +
1177   calcium chloride             aq         CSC             68               20                +       +     +    +     +      +        +          +            +                 0                     0                 +           +       +     +     +       +        +     +      +       +        +
CaCl2                        aq         CSC             104              40                +       +     +    +     +      +        +          +            +                 0                     0                 +           +       +     +     +       +        +     +      +       +        +
aq         CSC             140              60                0       +     +    +     +      +        +                       +                 -                     -                 +           -       +     +     +       +        +     +      +       +        +
aq         CSC             176              80                        +          +     +      +        +                       +                                                         +                   0     +     0       +              +      +       +        +
aq         CSC             212              100                                        +      +        +                       +                                                         +                         0             +              +      +       +        +




26 of 110
                                                                                                                                                                             304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1178   calcium chromate             aq         CSC             68               20                +                               +        +                                                                                                                                        +      +       +        +
chromatite                   aq         CSC             104              40                                                +        +                                                                                                                                        +      +       +        +
CaCrO4                       aq         CSC             140              60                                                +        +                                                                                                                                        +      +       +        +
aq         CSC             176              80                                                +        +                                                                                                                                        +      +       +
aq         CSC             212              100                                               +        +                                                                                                                                        +      +       +
1179   calcium fluoride             aq         CSC             68               20                +             +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
fluorspar                    aq         CSC             104              40                +             +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
CaF2                         aq         CSC             140              60                              +    +     +      +        +                       +                                                         +                         +             +              +      +       +        +
aq         CSC             176              80                                         +      +        +                                                                                                                                        +      +       +
aq         CSC             212              100                                               +        +                                                                                                                                        +      +       +
1180   calcium hydrogencarbonate    aq         CSC             68               20                +       +     +    +     +      +        +                       +                                                         +           +       +     +     +       +        +     +      +       +        +
calcium bicarbonate          aq         CSC             104              40                +       +     +    +     +      +        +                       +                                                         +           +       +     +     +       +        +     +      +       +        +
aq         CSC             140              60                        +     +    +     +      +        +                       +                                                         +           0       0     0     0       +        +     +      +       +        +
Ca(HCO3)2                    aq         CSC             176              80                        +                +      +        +                                                                                 +                                                      +      +       +
C2H2CaO6                     aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +       +
